name,ticker,isin,city,revenue turnover,num employees,return on total assets,type of share,market price
WALMART INC.,WMT,US9311421039,BENTONVILLE,128028000,,0.19,Ordinary Shares,156.04
EXXON MOBIL CORP,XOM,US30231G1022,IRVING,74187000,,2.56,Ordinary Shares,102.46
CVS HEALTH CORPORATION,CVS,US1266501006,WOONSOCKET,47490000,,1.44,Ordinary Shares,68.25
MCKESSON CORPORATION,MCK,US58155Q1031,IRVING,53075000,,0.96,Ordinary Shares,450.78
CHEVRON CORPORATION,CVX,US1667641005,SAN RAMON,42185000,,2.22,Ordinary Shares,141.77
CARDINAL HEALTH INC,CAH,US14149Y1082,DUBLIN,35213000,,1.84,Ordinary Shares,103.3
MARATHON PETROLEUM CORPORATION,MPC,US56585A1025,FINDLAY,23131000,,2.19,Ordinary Shares,145.1
VALERO ENERGY CORP,VLO,US91913Y1001,SAN ANTONIO,30849000,,2.22,Ordinary Shares,121.92
PHILLIPS 66,PSX,US7185461040,HOUSTON,29117000,,3.35,Ordinary Shares,113.53
FORD MOTOR CO,F,US3453708600,DEARBORN,37666000,,0.42,Ordinary Shares,10.16
HOME DEPOT INC,HD,US4370761029,ATLANTA,30463000,,10.07,Ordinary Shares,306.44
GENERAL MOTORS COMPANY,GM,US37045V1008,DETROIT,35791000,,1.17,Ordinary Shares,27.48
KROGER CO,KR,US5010441013,CINCINNATI,27869000,,1.7,Ordinary Shares,42.66
VERIZON COMMUNICATIONS INC,VZ,US92343V1044,NEW YORK,32607000,152300,2.51,Ordinary Shares,36.18
JPMORGAN CHASE & CO,JPM,US46625H1005,NEW YORK,27858000,246676,0.41,Ordinary Shares,151.45
AT&T INC.,T,US00206R1023,DALLAS,45739000,269280,1.16,Ordinary Shares,15.88
TARGET CORP,TGT,US87612E1064,MINNEAPOLIS,17776000,,2.56,Ordinary Shares,129.94
ARCHER DANIELS MIDLAND COMPANY,ADM,US0394831020,CHICAGO,15800000,,1.59,Ordinary Shares,73.92
UNITED PARCEL SERVICE INC,UPS,US9113121068,ATLANTA,17444000,,4.05,Ordinary Shares   Class B,146.91
PFIZER INC,PFE,US7170811035,NEW YORK,13298000,,2.49,Ordinary Shares,29.77
"LOWE'S COMPANIES, INC.",LOW,US5486611073,MOORESVILLE,20888000,,5.42,Ordinary Shares,202.28
JOHNSON & JOHNSON,JNJ,US4781601046,NEW BRUNSWICK,20348000,,2.84,Ordinary Shares,150.1
BANK OF AMERICA CORPORATION,BAC,US0605051046,CHARLOTTE,22601000,205292,0.37,Ordinary Shares,29.54
FEDEX CORP,FDX,US31428X1063,MEMPHIS,17052000,,2.12,Ordinary Shares,254.94
WALT DISNEY COMPANY (THE),DIS,US2546871060,BURBANK,15228000,,3.9,Ordinary Shares,94.51
PROCTER & GAMBLE CO,PG,US7427181091,CINCINNATI,16690000,,3.33,Ordinary Shares,152.83
CONOCOPHILLIPS,COP,US20825C1045,HOUSTON,9784000,11100,4.12,Ordinary Shares,111.99
BERKSHIRE HATHAWAY INC.,BRK.B,US0846707026,OMAHA,,,,Ordinary Shares   Class B,359.86
GENERAL ELECTRIC COMPANY,GE,US3696043013,BOSTON,23392000,,-7.37,Ordinary Shares,118.94
SYSCO CORP,SYY,US8718291078,HOUSTON,15215279,,2.9,Ordinary Shares,70.67
CITIGROUP INC,C,US1729674242,NEW YORK,18709000,220141,0.31,Ordinary Shares,44.67
WELLS FARGO & COMPANY,WFC,US9497461015,SAN FRANCISCO,21589000,264489,0.38,Ordinary Shares,42.53
RTX CORP,RTX,US75513E1010,WALTHAM,16510000,,1.54,Ordinary Shares,80.23
BOEING COMPANY (THE),BA,US0970231058,CHICAGO,25146000,,1.86,Ordinary Shares,206.6
LOCKHEED MARTIN CORP,LMT,US5398301094,BETHESDA,14318000,,3.46,Ordinary Shares,445.59
ACCENTURE PUBLIC LIMITED COMPANY,ACN,IE00B4BNMY34,DUBLIN,9005603,,6.51,Ordinary Shares   Class A,327.32
HP INC.,HPQ,US40434L1052,PALO ALTO,14586000,,2.97,Ordinary Shares,28.21
INTERNATIONAL BUSINESS MACHINES CORP,IBM,US4592001014,ARMONK,18756000,,2.46,Ordinary Shares,153.06
"HCA HEALTHCARE, INC.",HCA,US40412C1018,NASHVILLE,11451000,,2.81,Ordinary Shares,240.42
CATERPILLAR INC,CAT,US1491231015,DEERFIELD,13510000,,2.73,Ordinary Shares,248.21
"MERCK & CO., INC.",MRK,US58933Y1055,KENILWORTH,10794000,,3.13,Ordinary Shares,101.99
ABBVIE INC.,ABBV,US00287Y1091,NORTH CHICAGO,8236000,30000,4.17,Ordinary Shares,138.28
DOW INC.,DOW,US2605571031,MIDLAND,12634000,,1.26,Ordinary Shares,51.44
MORGAN STANLEY,MS,US6174464486,NEW YORK,10555000,58010,0.35,Ordinary Shares,79.66
TYSON FOODS INC.,TSN,US9024941034,SPRINGDALE,10051000,122000,2.52,Ordinary Shares   Class A,48.33
AMERICAN EXPRESS COMPANY,AXP,US0258161092,NEW YORK,10014000,56840,1.13,Ordinary Shares,159.05
PROGRESSIVE CORP,PGR,US7433151039,MAYFIELD VILLAGE,,,,Ordinary Shares,159.94
THE ALLSTATE CORP.,ALL,US0200021014,,,,,Ordinary Shares,134.75
DEERE & CO,DE,US2441991054,MOLINE,10308300,,1.72,Ordinary Shares,378.56
CHUBB LTD,CB,CH0044328745,ZÜRICH,,,,Ordinary Shares,222
LYONDELLBASELL INDUSTRIES N.V.,LYB,NL0009434992,ROTTERDAM,,,,Ordinary Shares   Class A,96.23
METLIFE INC.,MET,US59156R1086,,,,,Ordinary Shares,62.03
NIKE INC,NKE,US6541061031,BEAVERTON,9948000,,5.65,Ordinary Shares   Class B,107.61
"DELTA AIR LINES, INC.",DAL,US2473617023,ATLANTA,11953000,,3.07,Ordinary Shares,35.51
ORACLE CORP,ORCL,US68389X1054,REDWOOD CITY,9193000,,1.98,Ordinary Shares,114.67
TJX COMPANIES INC,TJX,US8725401090,FRAMINGHAM,9331115,,7.03,Ordinary Shares,88.37
"GOLDMAN SACHS GROUP, INC",GS,US38141G1040,NEW YORK,9627000,38000,0.34,Ordinary Shares,336.67
"BEST BUY CO, INC",BBY,US0865161014,RICHFIELD,9379000,,2.74,Ordinary Shares,66.75
BRISTOL-MYERS SQUIBB COMPANY,BMY,US1101221083,NEW YORK,5691000,,6.42,Ordinary Shares,50.84
AMERICAN INTERNATIONAL GROUP INC.,AIG,US0268747849,NEW YORK,,,,Ordinary Shares,64.12
THERMO FISHER SCIENTIFIC INC.,TMO,US8835561023,WALTHAM,5920000,,1.47,Ordinary Shares,472.47
ABBOTT LABORATORIES,ABT,US0028241000,ABBOTT PARK,7656000,,1,Ordinary Shares,100.26
COCA-COLA COMPANY (THE),KO,US1912161007,ATLANTA,8775000,,2.73,Ordinary Shares,57.15
NUCOR CORP,NUE,US6703461052,CHARLOTTE,12029193,,8.19,Ordinary Shares,154.94
PRUDENTIAL FINANCIAL INC,PRU,US7443201022,NEWARK,,,,Ordinary Shares,94.63
GENERAL DYNAMICS CORP,GD,US3695501086,FALLS CHURCH,9094000,,2.18,Ordinary Shares,245.26
TRAVELERS COMPANIES INC.,TRV,US89417E1091,SAINT PAUL,,,,Ordinary Shares,171.69
DOLLAR GENERAL CORP,DG,US2566771059,GOODLETTSVILE,6443309,,4.01,Ordinary Shares,117.81
OCCIDENTAL PETROLEUM CORPORATION,OXY,US6745991058,HOUSTON,4175000,,2.43,Ordinary Shares,60.31
NORTHROP GRUMMAN CORPORATION,NOC,US6668071029,FALLS CHURCH,8085000,,3.59,Ordinary Shares,463.88
CAPITAL ONE FINANCIAL CORPORATION,COF,US14040H1059,MCLEAN,7169652,51193,0.68,Ordinary Shares,105.01
3M COMPANY,MMM,US88579Y1010,SAINT PAUL,8152000,,5.27,Ordinary Shares,95.71
LENNAR CORP,LEN,US5260571048,MIAMI,5672569,,2,Ordinary Shares   Class A,127.08
"D.R. HORTON, INC.",DHI,US23331A1097,ARLINGTON,4435300,,4.53,Ordinary Shares,127.63
LINDE PUBLIC LIMITED COMPANY,LIN,IE000S9YS762,DUBLIN,,,,Ordinary Shares,408.39
VISA INC,V,US92826C8394,SAN FRANCISCO,4461000,,4.7,Ordinary Shares   Class A,248.57
PHILIP MORRIS INTERNATIONAL INC.,PM,US7181721090,NEW YORK,7504000,,7.63,Ordinary Shares,91.28
"NRG ENERGY, INC.",NRG,US6293775085,PRINCETON,3061000,,2.73,Ordinary Shares,47.57
