Date,Exchange Rate,Interest Rate,10 Year Inflation
,,,
2013-10-01,81.7,,
2013-11-01,82.11,2.718421053,2.170526316
2013-12-01,82.06,2.901904762,2.163333333
2014-01-01,82.96,2.858095238,2.226190476
2014-02-01,83.04,2.709473684,2.157368421
2014-03-01,83.33,2.723333333,2.167619048
2014-04-01,83.17,2.705238095,2.162380952
2014-05-01,83.1,2.559047619,2.190952381
2014-06-01,83.38,2.598571429,2.229047619
2014-07-01,83.14,2.542272727,2.262727273
2014-08-01,83.61,2.42,2.196190476
2014-09-01,84.63,2.534285714,2.073333333
2014-10-01,85.4,2.304090909,1.92
2014-11-01,86.34,2.325555556,1.88
2014-12-01,87.77,2.207272727,1.696818182
2015-01-01,89.45,1.8815,1.607
2015-02-01,90.55,1.975263158,1.715263158
2015-03-01,92.44,2.042727273,1.761818182
2015-04-01,91.93,1.935,1.858181818
2015-05-01,91.52,2.1975,1.8655
2015-06-01,92.4,2.363636364,1.865909091
2015-07-01,93.87,2.324545455,1.820909091
2015-08-01,95.19,2.167142857,1.611428571
2015-09-01,95.55,2.172857143,1.522857143
2015-10-01,94.62,2.07,1.498571429
2015-11-01,95.95,2.263157895,1.570526316
2015-12-01,96.42,2.242727273,1.515
2016-01-01,98.74,2.085263158,1.42
2016-02-01,97.36,1.7795,1.3075
2016-03-01,95.73,1.889090909,1.551818182
2016-04-01,94.5,1.805238095,1.614761905
2016-05-01,95.82,1.806190476,1.594285714
2016-06-01,96.44,1.644090909,1.47
2016-07-01,96.85,1.504,1.4655
2016-08-01,95.99,1.556521739,1.46826087
2016-09-01,96.61,1.63047619,1.514761905
2016-10-01,97.39,1.7645,1.667
2016-11-01,99.66,2.142,1.822
2016-12-01,101.16,2.491904762,1.935714286
2017-01-01,101.35,2.4325,2.0115
2017-02-01,99.84,2.418947368,2.018947368
2017-03-01,99.29,2.48173913,1.996086957
2017-04-01,98.55,2.297368421,1.906315789
2017-05-01,98.14,2.303636364,1.836818182
2017-06-01,96.85,2.186818182,1.728636364
2017-07-01,95.47,2.318,1.772
2017-08-01,94.27,2.209130435,1.775652174
2017-09-01,93.58,2.202,1.834
2017-10-01,95.04,2.36,1.861904762
2017-11-01,95.02,2.353333333,1.857619048
2017-12-01,94.38,2.4025,1.8995
2018-01-01,92.7,2.583809524,2.043809524
2018-02-01,91.69,2.858947368,2.101578947
2018-03-01,92.18,2.842380952,2.09047619
2018-04-01,92.43,2.869047619,2.127619048
2018-05-01,95.3,2.977727273,2.141818182
2018-06-01,96.91,2.912380952,2.117619048
2018-07-01,97.16,2.889047619,2.114285714
2018-08-01,97.63,2.889130435,2.099130435
2018-09-01,97.62,3.004210526,2.123157895
2018-10-01,98.16,3.152272727,2.111363636
2018-11-01,99.04,3.117,2.004
2018-12-01,98.55,2.832631579,1.816315789
2019-01-01,97.39,2.713809524,1.793809524
2019-02-01,97.11,2.676315789,1.876842105
2019-03-01,97.69,2.570952381,1.912857143
2019-04-01,98.02,2.532380952,1.936666667
2019-05-01,99.12,2.395,1.826363636
2019-06-01,98.76,2.074,1.7
2019-07-01,98.38,2.059090909,1.752727273
2019-08-01,99.98,1.626363636,1.586363636
2019-09-01,100.11,1.6995,1.587
2019-10-01,99.42,1.706818182,1.560909091
2019-11-01,98.89,1.812105263,1.640526316
2019-12-01,98.12,1.862857143,1.718095238
2020-01-01,97.65,1.757619048,1.720952381
2020-02-01,98.76,1.504210526,1.615789474
2020-03-01,102.42,0.87,0.986818182
2020-04-01,104.41,0.657619048,1.103333333
2020-05-01,103.91,0.674,1.1155
2020-06-01,101.77,0.728636364,1.273181818
2020-07-01,101.24,0.623636364,1.456363636
2020-08-01,99.94,0.65,1.661428571
2020-09-01,99.25,0.67952381,1.656190476
2020-10-01,98.56,0.787142857,1.703809524
2020-11-01,97.02,0.87,1.712105263
2020-12-01,95.06,0.933636364,1.915909091
2021-01-01,94.62,1.081052632,2.081578947
2021-02-01,94.99,1.257894737,2.18
2021-03-01,96.76,1.610869565,2.275217391
2021-04-01,96.82,1.635,2.349545455
2021-05-01,96.22,1.621,2.468
2021-06-01,97.19,1.519090909,2.342727273
2021-07-01,98.56,1.318571429,2.327619048
2021-08-01,98.78,1.283181818,2.348636364
2021-09-01,98.68,1.374761905,2.344285714
2021-10-01,99.5,1.5825,2.535
2021-11-01,100.31,1.5595,2.616
2021-12-01,101.02,1.465,2.458181818
2022-01-01,100.9,1.764,2.4495
2022-02-01,100.83,1.934210526,2.457894737
2022-03-01,102.44,2.127826087,2.846521739
2022-04-01,103.16,2.7475,2.884
2022-05-01,106.18,2.898095238,2.688571429
2022-06-01,107.42,3.143333333,2.617619048
2022-07-01,109.2,2.896,2.362
2022-08-01,108.69,2.897826087,2.50826087
2022-09-01,111.25,3.519047619,2.382380952
2022-10-01,112.98,3.9835,2.3935
2022-11-01,110.17,3.891,2.371
2022-12-01,107.43,3.616190476,2.25952381
2023-01-01,105.68,3.5315,2.237
2023-02-01,106.18,3.746842105,2.333684211
2023-03-01,106.81,3.663043478,2.302173913
2023-04-01,105.93,3.46,2.2665
2023-05-01,106.73,3.573636364,2.213636364
2023-06-01,107.21,3.748095238,2.20047619
2023-07-01,106.21,3.8995,2.2965
2023-08-01,107.68,4.167826087,2.335217391
2023-09-01,109.09,4.379,2.342
2023-10-01,110.76,4.798095238,2.386190476
