Date,Index,Sector 
2013-10-31,205.19,Financial
2013-11-01,205.72,Financial
2013-11-04,205.91,Financial
2013-11-05,204.96,Financial
2013-11-06,205.63,Financial
2013-11-07,203.28,Financial
2013-11-08,207.92,Financial
2013-11-11,208.12,Financial
2013-11-12,206.19,Financial
2013-11-13,207.89,Financial
2013-11-14,209.65,Financial
2013-11-15,210.69,Financial
2013-11-18,210.57,Financial
2013-11-19,210.95,Financial
2013-11-20,210.2,Financial
2013-11-21,213.25,Financial
2013-11-22,214.25,Financial
2013-11-25,214.44,Financial
2013-11-26,214.3,Financial
2013-11-27,215.01,Financial
2013-11-29,214.16,Financial
2013-12-02,213.71,Financial
2013-12-03,211.75,Financial
2013-12-04,212.23,Financial
2013-12-05,210.3,Financial
2013-12-06,213.24,Financial
2013-12-09,214.03,Financial
2013-12-10,213.34,Financial
2013-12-11,210.26,Financial
2013-12-12,210.24,Financial
2013-12-13,210.52,Financial
2013-12-16,211.67,Financial
2013-12-17,210.42,Financial
2013-12-18,215.36,Financial
2013-12-19,215.04,Financial
2013-12-20,216.03,Financial
2013-12-23,217.3,Financial
2013-12-24,217.68,Financial
2013-12-26,218.03,Financial
2013-12-27,217.86,Financial
2013-12-30,217.58,Financial
2013-12-31,218.45,Financial
2014-01-02,217.26,Financial
2014-01-03,218.66,Financial
2014-01-06,218.97,Financial
2014-01-07,219.07,Financial
2014-01-08,219.8,Financial
2014-01-09,220.53,Financial
2014-01-10,220.24,Financial
2014-01-13,216.97,Financial
2014-01-14,218.67,Financial
2014-01-15,221.27,Financial
2014-01-16,219.91,Financial
2014-01-17,219.13,Financial
2014-01-21,219.3,Financial
2014-01-22,219.53,Financial
2014-01-23,215.85,Financial
2014-01-24,210.91,Financial
2014-01-27,209.59,Financial
2014-01-28,212.22,Financial
2014-01-29,209.97,Financial
2014-01-30,212.74,Financial
2014-01-31,210.31,Financial
2014-02-03,205.1,Financial
2014-02-04,207.05,Financial
2014-02-05,206.78,Financial
2014-02-06,209.85,Financial
2014-02-07,212.5,Financial
2014-02-10,212.76,Financial
2014-02-11,214.85,Financial
2014-02-12,214.73,Financial
2014-02-13,215.54,Financial
2014-02-14,215.86,Financial
2014-02-18,216.21,Financial
2014-02-19,213.41,Financial
2014-02-20,213.94,Financial
2014-02-21,214.01,Financial
2014-02-24,215.8,Financial
2014-02-25,214.47,Financial
2014-02-26,214.19,Financial
2014-02-27,215.37,Financial
2014-02-28,216.5,Financial
2014-03-03,214.6,Financial
2014-03-04,218.88,Financial
2014-03-05,220.42,Financial
2014-03-06,221.91,Financial
2014-03-07,223.02,Financial
2014-03-10,223.11,Financial
2014-03-11,221.47,Financial
2014-03-12,221.21,Financial
2014-03-13,218.65,Financial
2014-03-14,217.41,Financial
2014-03-17,219.67,Financial
2014-03-18,220.73,Financial
2014-03-19,220.41,Financial
2014-03-20,224.04,Financial
2014-03-21,224.07,Financial
2014-03-24,223.57,Financial
2014-03-25,223.59,Financial
2014-03-26,221.48,Financial
2014-03-27,220.2,Financial
2014-03-28,221.06,Financial
2014-03-31,223.16,Financial
2014-04-01,224.02,Financial
2014-04-02,224.29,Financial
2014-04-03,224.04,Financial
2014-04-04,221.46,Financial
2014-04-07,218.16,Financial
2014-04-08,218.44,Financial
2014-04-09,220.31,Financial
2014-04-10,215.12,Financial
2014-04-11,212.61,Financial
2014-04-14,214.3,Financial
2014-04-15,216.2,Financial
2014-04-16,218.06,Financial
2014-04-17,218.25,Financial
2014-04-21,218.16,Financial
2014-04-22,219.67,Financial
2014-04-23,220.2,Financial
2014-04-24,220.01,Financial
2014-04-25,218.16,Financial
2014-04-28,216.95,Financial
2014-04-29,219,Financial
2014-04-30,219.5,Financial
2014-05-01,219.64,Financial
2014-05-02,219.64,Financial
2014-05-05,218.72,Financial
2014-05-06,215.67,Financial
2014-05-07,218.42,Financial
2014-05-08,218.95,Financial
2014-05-09,218.73,Financial
2014-05-12,220.99,Financial
2014-05-13,220.73,Financial
2014-05-14,219.02,Financial
2014-05-15,216.61,Financial
2014-05-16,216.86,Financial
2014-05-19,218.06,Financial
2014-05-20,216.59,Financial
2014-05-21,218.27,Financial
2014-05-22,219.08,Financial
2014-05-23,219.61,Financial
2014-05-27,221.76,Financial
2014-05-28,221.22,Financial
2014-05-29,221.73,Financial
2014-05-30,222.21,Financial
2014-06-02,222.81,Financial
2014-06-03,223.03,Financial
2014-06-04,223.75,Financial
2014-06-05,225.82,Financial
2014-06-06,227.35,Financial
2014-06-09,228.17,Financial
2014-06-10,228.07,Financial
2014-06-11,226.53,Financial
2014-06-12,225.23,Financial
2014-06-13,225.25,Financial
2014-06-16,224.28,Financial
2014-06-17,226.37,Financial
2014-06-18,227.85,Financial
2014-06-19,227.49,Financial
2014-06-20,228.23,Financial
2014-06-23,228.85,Financial
2014-06-24,227.23,Financial
2014-06-25,227.48,Financial
2014-06-26,226.72,Financial
2014-06-27,227.25,Financial
2014-06-30,227.27,Financial
2014-07-01,228.56,Financial
2014-07-02,228.5,Financial
2014-07-03,230.25,Financial
2014-07-07,229.1,Financial
2014-07-08,227.13,Financial
2014-07-09,227.72,Financial
2014-07-10,226.3,Financial
2014-07-11,226.59,Financial
2014-07-14,227.97,Financial
2014-07-15,229.47,Financial
2014-07-16,229.21,Financial
2014-07-17,226.33,Financial
2014-07-18,228.77,Financial
2014-07-21,228.23,Financial
2014-07-22,229,Financial
2014-07-23,229.42,Financial
2014-07-24,230.01,Financial
2014-07-25,228.71,Financial
2014-07-28,228.82,Financial
2014-07-29,227.42,Financial
2014-07-30,228.41,Financial
2014-07-31,223.74,Financial
2014-08-01,221.78,Financial
2014-08-04,223.56,Financial
2014-08-05,221.34,Financial
2014-08-06,222.15,Financial
2014-08-07,220.97,Financial
2014-08-08,223.12,Financial
2014-08-11,223.46,Financial
2014-08-12,223.75,Financial
2014-08-13,224.95,Financial
2014-08-14,226.17,Financial
2014-08-15,225.22,Financial
2014-08-18,227.64,Financial
2014-08-19,227.98,Financial
2014-08-20,228.66,Financial
2014-08-21,231.21,Financial
2014-08-22,230.4,Financial
2014-08-25,232.3,Financial
2014-08-26,232.92,Financial
2014-08-27,232.54,Financial
2014-08-28,231.54,Financial
2014-08-29,232.75,Financial
2014-09-02,233.59,Financial
2014-09-03,233.29,Financial
2014-09-04,233.34,Financial
2014-09-05,233.76,Financial
2014-09-08,233.74,Financial
2014-09-09,231.41,Financial
2014-09-10,232.39,Financial
2014-09-11,233.11,Financial
2014-09-12,232.83,Financial
2014-09-15,232.89,Financial
2014-09-16,233.73,Financial
2014-09-17,234.76,Financial
2014-09-18,237.23,Financial
2014-09-19,236.38,Financial
2014-09-22,234.74,Financial
2014-09-23,233.13,Financial
